TIMESTAMP  | MAX-T    | PHASE        | VIX-SIG 
--------------------------------------------------
22:51:41 |   0.0776 | NOMINAL      |   17.74
22:51:41 |   1.0844 | FIREWALL     |   19.38
22:51:42 |   1.3631 | FIREWALL     |   24.08
22:51:42 |   1.5801 | FIREWALL     |   27.99
22:51:42 |   1.8017 | FIREWALL     |   30.06
22:51:43 |   1.9232 | FIREWALL     |   32.17
22:51:43 |   2.1314 | FIREWALL     |   36.00
22:51:44 |   2.2401 | FIREWALL     |   36.82
22:51:44 |   2.3886 | FIREWALL     |   41.20
22:51:45 |   2.4739 | FIREWALL     |   42.90
22:51:45 |   2.4941 | FIREWALL     |   47.95
22:51:45 |   2.4989 | FIREWALL     |   50.35
22:51:46 |   2.5000 | FIREWALL     |   54.36
22:51:46 |   2.5002 | FIREWALL     |   58.00
22:51:47 |   2.5003 | FIREWALL     |   59.92
