m_S_eV,alpha_max
9.999999999999999547e-07,7.689500956091407807e-35
1.084365968689610974e-06,7.691144931844547053e-35
1.175849554052155849e-06,7.692928000409989354e-35
1.275051240713012877e-06,7.694861966444487188e-35
1.382622173764656422e-06,7.696959642847867859e-35
1.499268432786047032e-06,7.699234938001205522e-35
1.625755666443793459e-06,7.701702950749977902e-35
1.762914118095947932e-06,7.704380073853956809e-35
1.911644075385703595e-06,7.707284106698678477e-35
2.072921779595369722e-06,7.710434378144730750e-35
2.247805833548725500e-06,7.713851880482067604e-35
2.437444150122221785e-06,7.717559415558121185e-35
2.643081486974102836e-06,7.721581754262345595e-35
2.866067616948250230e-06,7.725945810677526022e-35
3.107866187782014044e-06,7.730680832351797660e-35
3.370064329271924916e-06,7.735818608306934527e-35
3.654383070957254277e-06,7.741393696581041648e-35
3.962688638701478652e-06,7.747443673309993207e-35
4.297004704320844031e-06,7.754009405585841150e-35
4.659525668664677305e-06,7.761135350595748367e-35
5.052631065335680056e-06,7.768869883847055030e-35
5.478901179593944910e-06,7.777265659628407226e-35
5.941133984965040091e-06,7.786380007250399899e-35
6.442363508721370221e-06,7.796275367059861300e-35
6.985879746785248997e-06,7.807019770739147058e-35
7.575250258771920504e-06,7.818687370997018490e-35
8.214343584919421215e-06,7.831359026443769950e-35
8.907354638610439314e-06,7.845122948236422535e-35
9.658832241158708692e-06,7.860075415998426441e-35
1.047370897959448737e-05,7.876321571585158970e-35
1.135733358343105172e-05,7.893976300508055738e-35
1.231550603292826080e-05,7.913165212278932330e-35
1.335451562929897430e-05,7.934025732630347018e-35
1.448118227674533057e-05,7.956708322554460212e-35
1.570290124729377390e-05,7.981377841437797107e-35
1.702769172225897850e-05,8.008215074321118311e-35
1.846424942895542385e-05,8.037418446564417511e-35
2.002200371815584479e-05,8.069205953048390865e-35
2.171117945694505137e-05,8.103817333617900873e-35
2.354286414322420072e-05,8.141516531921487797e-35
2.552908068239516468e-05,8.182594481308658069e-35
2.768286630392066547e-05,8.227372269242459165e-35
3.001835813575592089e-05,8.276204741051144910e-35
3.255088599835056465e-05,8.329484615130713233e-35
3.529707302730650319e-05,8.387647195356859745e-35
3.827494478516314894e-05,8.451175783017122458e-35
4.150404757850472217e-05,8.520607910718065691e-35
4.500557675700497562e-05,8.596542545322658299e-35
4.880251583654433487e-05,8.679648437123985370e-35
5.291978735958436362e-05,8.770673829552886218e-35
5.738441648302392912e-05,8.870457789523346558e-35
6.222570836730231022e-05,8.979943475314241043e-35
6.747544053110686002e-05,9.100193729598494431e-35
7.316807143427192419e-05,9.232409473650245525e-35
7.934096665797492082e-05,9.377951489816522600e-35
8.603464416684509228e-05,9.538366319475070061e-35
9.329304026284696006e-05,9.715417181381462834e-35
1.011637979766207013e-04,9.911121041725986705e-35
1.096985797892384082e-04,1.012779325724373267e-34
1.189534067370319513e-04,1.036810158622991115e-34
1.289890261253308021e-04,1.063513184604692310e-34
1.398713102647238687e-04,1.093246812586691659e-34
1.516716888470922469e-04,1.126429128929833694e-34
1.644676177994664336e-04,1.163550059086963464e-34
1.783430876931909215e-04,1.205186467659850263e-34
1.933891750455229996e-04,1.252021017223630403e-34
2.097046401323232709e-04,1.304865866585790909e-34
2.273965752357927448e-04,1.364692642250885080e-34
2.465811075822603774e-04,1.432670599587460763e-34
2.673841615839946790e-04,1.510215555511364151e-34
2.899422853882875021e-04,1.599053099301824183e-34
3.144035471591500111e-04,1.701300885130596340e-34
3.409285069746810937e-04,1.819576645768536285e-34
