t,r,r_dot,theta,theta_dot
0.0,150000000000.0,0.0,0.0,1.9832769515795482e-07
21033.677892630876,149999996414.2316,-0.5110805854523006,0.004162959240540317,1.97510372492868e-07
42067.35578526175,149999971372.9851,-2.038705025307017,0.008308763120623033,1.9669647424090425e-07
63101.03367789263,149999903582.88916,-4.574487771668901,0.012437484099732802,1.9588604118148703e-07
84134.7115705235,149999771926.3749,-8.110098344790657,0.016549195479515572,1.9507911261687954e-07
105168.38946315438,149999555460.50247,-12.63726274162608,0.020643971372989057,1.9427572639926277e-07
126202.06735578526,149999233415.7584,-18.14776478662801,0.024721886674316896,1.93475918957738e-07
147235.74524841615,149998785194.82626,-24.633447424106578,0.0287830170291921,1.9267972532519645e-07
168269.423141047,149998190371.33206,-32.086213956560705,0.03282743880575703,1.9188717916508118e-07
189303.10103367787,149997428688.55618,-40.498029234733366,0.036855229065936856,1.910983127981656e-07
210336.77892630876,149996480058.13055,-49.860920780126854,0.04086646553770439,1.9031315722892088e-07
231370.45681893965,149995324558.7172,-60.16697986844246,0.04486122658759706,1.8953174217182934e-07
252404.1347115705,149993942434.63113,-71.40836257087184,0.048839591193549955,1.887540960779691e-07
273437.8126042014,149992314094.50745,-83.57729070688097,0.05280163891936675,1.8798024616027085e-07
294471.4904968323,149990420109.85895,-96.66605281990786,0.05674744988778286,1.8721021842036738e-07
315505.16838946316,149988241213.71625,-110.6670050131294,0.060677104756697436,1.8644403767304293e-07
336538.846282094,149985758299.14246,-125.57257184878613,0.0645906846928301,1.8568172757292832e-07
357572.5241747249,149982952417.8472,-141.3752470823342,0.06848827134945948,1.8492331063826395e-07
378606.20206735574,149979804778.645,-158.06759448970686,0.07236994684060968,1.8416880827757606e-07
399639.87995998666,149976296746.0801,-175.6422484995929,0.07623579372051405,1.8341824081229753e-07
420673.5578526175,149972409838.79123,-194.09191495658837,0.08008589495810085,1.8267162750388363e-07
441707.2357452484,149968125728.1819,-213.40937166534718,0.0839203339180161,1.8192898657501524e-07
462740.9136378793,149963426236.70248,-233.5874690627788,0.0877391943362981,1.8119033523668252e-07
483774.59153051017,149958293336.48767,-254.61913073826665,0.09154256030095018,1.8045568970952712e-07
504808.269423141,149952709147.73026,-276.49735394186433,0.09533051623167402,1.7972506524808915e-07
525841.947315772,149946655937.07462,-299.21521014555776,0.09910314685735126,1.7899847616533872e-07
546875.6252084028,149940116116.24615,-322.7658453936275,0.10286053720048055,1.782759358522641e-07
567909.3031010337,149933072240.1821,-347.1424808272702,0.1066027725537739,1.775574568049623e-07
588942.9809936646,149925507005.7106,-372.33841303101946,0.11032993846398248,1.7684305064345584e-07
609976.6588862954,149917403249.91382,-398.34701435300394,0.11404212071496969,1.7613272813397422e-07
631010.3367789263,149908743948.28745,-425.1617333459709,0.11773940530539756,1.7542649921450666e-07
652044.0146715571,149899512213.5174,-452.77609497637826,0.12142187843634195,1.7472437301098255e-07
673077.692564188,149889691293.6395,-481.1837009125397,0.12508962649310476,1.7402635786132173e-07
694111.370456819,149879264570.2979,-510.3782298570558,0.12874273602555092,1.733324613383594e-07
715145.0483494498,149868215557.51517,-540.3534376779812,0.1323812937373669,1.7264269026519914e-07
736178.7262420807,149856527899.7652,-571.1031576308742,0.13600538646832191,1.7195705073923835e-07
757212.4041347115,149844185370.2337,-602.6213006111632,0.13961510117617013,1.7127554815384083e-07
778246.0820273424,149831171869.61563,-634.9018552290995,0.14321052492717906,1.7059818721261365e-07
799279.7599199733,149817471424.22446,-667.9388879402202,0.1467917448805771,1.6992497195182676e-07
820313.4378126041,149803068184.05304,-701.7265432465118,0.1503588482700583,1.692559057632583e-07
841347.115705235,149787946421.7012,-736.2590437349638,0.15391192239575235,1.6859099140633584e-07
862380.793597866,149772090530.6214,-771.5306901075711,0.15745105461203213,1.6793023102793082e-07
883414.4714904968,149755485022.86124,-807.5358613258504,0.16097633230805242,1.6727362618747178e-07
904448.1493831277,149738114528.11563,-844.269014645101,0.16448784290038146,1.6662117786726946e-07
925481.8272757586,149719963792.05716,-881.7246855703627,0.16798567382314952,1.6597288649038325e-07
946515.5051683894,149701017674.23297,-919.8974878966861,0.17146991251241328,1.6532875194282163e-07
967549.1830610203,149681261146.4603,-958.7821137564613,0.1749406463937102,1.646887735902324e-07
988582.8609536511,149660679291.68228,-998.373333567782,0.17839796287572574,1.6405295028940453e-07
1009616.538846282,149639257302.26453,-1038.6659959469598,0.18184194934108913,1.6342128040561287e-07
1030650.216738913,149616980477.4835,-1079.6550277144825,0.1852726931287105,1.627937618371999e-07
1051683.894631544,149593834222.69067,-1121.3354338848399,0.18869028152829365,1.621703920236863e-07
1072717.5725241746,149569804047.72195,-1163.7022975385414,0.1920948017730486,1.615511679609149e-07
1093751.2504168055,149544875565.19843,-1206.750779717963,0.1954863410308479,1.609360862172304e-07
1114784.9283094364,149519034487.96765,-1250.4761193712618,0.19886498638823838,1.6032514295680539e-07
1135818.6062020673,149492266628.56195,-1294.8736333263441,0.2022308248474923,1.5971833394452662e-07
1156852.2840946983,149464557897.3989,-1339.9387161038817,0.2055839433196413,1.5911565456212978e-07
1177885.9619873292,149435894301.19754,-1385.666839789599,0.20892442861721622,1.5851709982234432e-07
1198919.6398799599,149406261940.24738,-1432.0535539195712,0.21225236743928755,1.5792266439206408e-07
1219953.3177725908,149375647007.97858,-1479.0944854539252,0.21556784636935897,1.5733234259598775e-07
1240986.9956652217,149344035789.17804,-1526.7853385710475,0.218870951869416,1.5674612843148568e-07
1262020.6735578526,149311414658.68564,-1575.1218945007245,0.22216177027574618,1.5616401557983696e-07
1283054.3514504835,149277770078.33252,-1624.1000113557175,0.22544038778427106,1.555859974303162e-07
1304088.0293431142,149243088596.20883,-1673.715624081835,0.22870689044729653,1.550120670860005e-07
