t,r,r_dot,theta,theta_dot
0.0,150000000000.0,0.0,0.0,1.9832769515795482e-07
21033.677892630876,149999994881.9979,-0.729255617279347,0.004159280074400425,1.9716112324054078e-07
42067.35578526175,149999959176.36023,-2.905594305770748,0.0082940957878756,1.960014928782402e-07
63101.03367789263,149999862624.783,-6.512009251734687,0.012404593533845772,1.94848840387536e-07
84134.7115705235,149999675324.76794,-11.531675564790858,0.01649092043955195,1.9370319923998673e-07
105168.38946315438,149999367725.77893,-17.94795183563126,0.02055322430702326,1.9256460013982133e-07
126202.06735578526,149998910625.3686,-25.744381543608558,0.024591653555691904,1.9143307110045195e-07
147235.74524841615,149998275165.2738,-34.904694321564115,0.02860635716655004,1.9030863751997743e-07
168269.423141047,149997432827.488,-45.41280708037299,0.03259748462793941,1.8919132225553371e-07
189303.10103367787,149996355430.3137,-57.252824999127995,0.03656518588293989,1.8808114569646908e-07
210336.77892630876,149995015124.40228,-70.40904238969873,0.04050961127825197,1.869781258363259e-07
231370.45681893965,149993384388.73608,-84.8659434411824,0.04443091151418009,1.858822783443256e-07
252404.1347115705,149991436026.6691,-100.60820283025815,0.04832923759715071,1.8479361663433e-07
273437.8126042014,149989143161.8941,-117.62068624289039,0.05220474079238548,1.8371215193396446e-07
294471.4904968323,149986479234.39258,-135.8884507626727,0.0560575725787601,1.8263789335225486e-07
315505.16838946316,149983417996.50024,-155.39674517066783,0.05988788460558333,1.8157084794445604e-07
336538.846282094,149979933508.70932,-176.13101014090563,0.06369582864860016,1.805110207795447e-07
357572.5241747249,149976000135.8543,-198.07687833728107,0.06748155657108554,1.7945841500051064e-07
378606.20206735574,149971592542.79865,-221.2201744232582,0.07124522028124393,1.7841303189117565e-07
399639.87995998666,149966685690.7198,-245.54691498820048,0.07498697169690291,1.7737487093261132e-07
420673.5578526175,149961254832.70847,-271.04330837115305,0.07870696270486574,1.7634392986870356e-07
441707.2357452484,149955275510.12677,-297.6957544492734,0.08240534512824399,1.7532020475945698e-07
462740.9136378793,149948723548.21393,-325.49084427972286,0.08608227068903716,1.7430369004381763e-07
483774.59153051017,149941575052.33945,-354.41535976394005,0.08973789097586234,1.732943785926434e-07
504808.269423141,149933806403.9166,-384.45627314822417,0.09337235741242253,1.7229226176470914e-07
525841.947315772,149925394256.223,-415.6007465261124,0.09698582122309177,1.7129732946367137e-07
546875.6252084028,149916315530.8738,-447.8361312846177,0.1005784334079695,1.7030957018454537e-07
567909.3031010337,149906547413.16394,-481.14996738261476,0.10415034470788963,1.693289710745293e-07
588942.9809936646,149896067348.77496,-515.5299827804467,0.10770170558106422,1.6835551797506957e-07
609976.6588862954,149884853039.543,-550.964092609069,0.1112326661756436,1.6738919547474128e-07
631010.3367789263,149872882439.2216,-587.4403983726293,0.1147433762997993,1.6642998696154398e-07
652044.0146715571,149860133750.35355,-624.9471872384096,0.11823398540345094,1.6547787466043486e-07
673077.692564188,149846585419.53934,-663.4729309722069,0.12170464254921629,1.6453283968929356e-07
694111.370456819,149832216133.90097,-703.0062851490293,0.1251554963899073,1.6359486209999352e-07
715145.0483494498,149817004817.70706,-743.5360882577747,0.12858669515143561,1.6266392091673723e-07
736178.7262420807,149800930627.5383,-785.0513604811543,0.13199838660538976,1.6173999418993843e-07
757212.4041347115,149783972949.12555,-827.5413028910749,0.13539071805107394,1.6082305903077457e-07
778246.0820273424,149766111393.92963,-870.9952964341292,0.13876383630034247,1.5991309164796421e-07
799279.7599199733,149747325794.314,-915.4029005835567,0.14211788765302155,1.590100673984056e-07
820313.4378126041,149727596200.37033,-960.75385245723,0.14545301788055937,1.581139608198078e-07
841347.115705235,149706902876.7667,-1007.0380657961787,0.14876937221391323,1.572247456626539e-07
862380.793597866,149685226298.1603,-1054.2456295540499,0.15206709532342785,1.5634239493565386e-07
883414.4714904968,149662547145.3541,-1102.3668067572685,0.15534633130086736,1.5546688094281203e-07
904448.1493831277,149638846302.75067,-1151.392033634784,0.1586072236506864,1.5459817530752785e-07
925481.8272757586,149614104854.4622,-1201.3119182852647,0.16184991527652312,1.5373624900944947e-07
946515.5051683894,149588304079.17673,-1252.1172390546467,0.16507454846014927,1.528810724306852e-07
967549.1830610203,149561425448.37512,-1303.7989439387975,0.16828126485513495,1.520326153716307e-07
988582.8609536511,149533450622.67828,-1356.3481492249432,0.17147020547711314,1.5119084708354367e-07
1009616.538846282,149504361447.4195,-1409.7561379785968,0.17464151068891465,1.5035573630627409e-07
1030650.216738913,149474139948.73752,-1464.0143587443843,0.1777953201869803,1.4952725130071774e-07
1051683.894631544,149442768331.75018,-1519.1144248629118,0.18093177299702334,1.487053598636119e-07
1072717.5725241746,149410228976.84497,-1575.0481130156284,0.18405100746627262,1.478900293584935e-07
1093751.2504168055,149376504434.71832,-1631.8073615136343,0.18715316124884726,1.4708122675386395e-07
1114784.9283094364,149341577423.46402,-1689.3842692871626,0.1902383712974872,1.4627891864549636e-07
1135818.6062020673,149305430826.5504,-1747.7710951007348,0.19330677386002643,1.4548307127142406e-07
1156852.2840946983,149268047689.3034,-1806.960256109134,0.19635850447419123,1.446936505392334e-07
1177885.9619873292,149229411213.89102,-1866.9443261010313,0.19939369795549605,1.4391062206112936e-07
1198919.6398799599,149189504756.2239,-1927.7160343975224,0.2024124883902425,1.4313395117563482e-07
1219953.3177725908,149148311824.6827,-1989.2682653566392,0.20541500913392494,1.4236360295609988e-07
1240986.9956652217,149105816076.09116,-2051.5940566922914,0.20840139280750603,1.4159954223906447e-07
1262020.6735578526,149062001312.12494,-2114.686598186754,0.2113717712908662,1.4084173364735644e-07
1283054.3514504835,149016851474.31155,-2178.5392299138603,0.2143262757141109,1.4009014162164893e-07
1304088.0293431142,148970350643.72092,-2243.1454421239564,0.2172650364571901,1.393447304223747e-07
1325121.7072357452,148922483036.94772,-2308.498873637726,0.22018818314754576,1.3860546415436927e-07
1346155.385128376,148873233004.36777,-2374.593311046959,0.22309584465985374,1.378723067788796e-07
1367189.063021007,148822585023.52982,-2441.4226864361144,0.22598814910743556,1.371452221505626e-07
1388222.740913638,148770523697.18732,-2508.9810766781707,0.22886522384010177,1.3642417402871294e-07
1409256.4188062686,148717033752.76105,-2577.262703235081,0.231727195444005,1.3570912608008672e-07
