t,r,r_dot,theta,theta_dot
0.0,150000000000.0,0.0,0.0,1.9832769515795482e-07
21033.677892630876,149999996925.57855,-0.4382411769396437,0.004164186593862777,1.976269263333059e-07
42067.35578526175,149999975448.1123,-1.7488329651651746,0.008313659921754542,1.9692868184351025e-07
63101.03367789263,149999917283.85403,-3.925600415035346,0.012448473485373923,1.9623300007516478e-07
84134.7115705235,149999804278.61273,-6.962399749809333,0.01656868158220683,1.9553991831246078e-07
105168.38946315438,149999618407.0854,-10.853119526539414,0.020674339282514647,1.9484947275424554e-07
126202.06735578526,149999341772.16498,-15.591681758713655,0.024765502406693705,1.9416169853110017e-07
147235.74524841615,149998956604.22665,-21.172043001117654,0.028842227503011724,1.934766297224116e-07
168269.423141047,149998445260.388,-27.588195404366907,0.03290457182557302,1.927942993735365e-07
189303.10103367787,149997790223.74838,-34.83416772480361,0.03695259331284453,1.9211473951285614e-07
210336.77892630876,149996974102.61682,-42.90402629880669,0.04098635056655249,1.9143798116872315e-07
231370.45681893965,149995979629.6986,-51.79187600563486,0.04500590283042533,1.9076405438680904e-07
252404.1347115705,149994789661.28607,-61.49186115297757,0.04901130997030389,1.9009298824673036e-07
273437.8126042014,149993387176.41562,-71.99816638314562,0.05300263245334468,1.8942481087935053e-07
294471.4904968323,149991755276.0063,-83.30501749441623,0.05697993132885951,1.8875954948344316e-07
315505.16838946316,149989877181.99786,-95.40668227760092,0.06094326820834384,1.880972303426631e-07
336538.846282094,149987736236.4407,-108.29747128067646,0.06489270524691751,1.8743787884227357e-07
357572.5241747249,149985315900.6085,-121.9717385862018,0.06882830512399221,1.8678151948591285e-07
378606.20206735574,149982599754.06018,-136.42388250297032,0.07275013102578379,1.8612817591198114e-07
399639.87995998666,149979571493.70322,-151.64834631115306,0.07665824662598295,1.854778709106914e-07
420673.5578526175,149976214932.86642,-167.6396188611032,0.08055271606995494,1.848306264394949e-07
441707.2357452484,149972514000.2665,-184.3922353056822,0.08443360395490343,1.84186463641052e-07
462740.9136378793,149968452739.14484,-201.9007776091906,0.08830097531581459,1.835454028571783e-07
483774.59153051017,149964015306.1255,-220.15987523265298,0.09215489560605214,1.8290746364747018e-07
504808.269423141,149959185970.3488,-239.16420564217836,0.09599543068263129,1.822726648033302e-07
525841.947315772,149953949112.39615,-258.9084948285708,0.09982264679078089,1.816410243642547e-07
546875.6252084028,149948289223.2015,-279.38751791317935,0.10363661054556612,1.8101255963511681e-07
567909.3031010337,149942190903.1854,-300.5960995144487,0.10743738892039256,1.8038728719877176e-07
588942.9809936646,149935638860.9961,-322.5291143125262,0.11122504922893381,1.797652229346765e-07
609976.6588862954,149928617912.58896,-345.18148748104204,0.1149996591110532,1.791463820326295e-07
631010.3367789263,149921112980.20892,-368.5481950301301,0.1187612865210393,1.7853077900672318e-07
652044.0146715571,149913109091.08078,-392.62426433586097,0.12250999970934506,1.7791842771399947e-07
673077.692564188,149904591376.57535,-417.4047744542493,0.12624586721145742,1.7730934136605403e-07
694111.370456819,149895545071.09232,-442.8848564332437,0.12996895783611578,1.7670353254368495e-07
715145.0483494498,149885955510.70047,-469.0596937889832,0.133679340647537,1.7610101321532193e-07
736178.7262420807,149875808132.3489,-495.92452275015125,0.13737708495594356,1.7550179474738923e-07
757212.4041347115,149865088472.71744,-523.4746325160771,0.141062260306641,1.749058879186958e-07
778246.0820273424,149853782166.78848,-551.7053656754256,0.14473493646295935,1.743133029387544e-07
799279.7599199733,149841874947.05127,-580.6121184222417,0.14839518339718247,1.7372404945777694e-07
820313.4378126041,149829352642.3953,-610.1903407466328,0.15204307128121478,1.7313813657987123e-07
841347.115705235,149816201176.6617,-640.435536772067,0.15567867047128583,1.7255557288059542e-07
862380.793597866,149802406567.6545,-671.3432649961952,0.15930205149707663,1.719763664188449e-07
883414.4714904968,149787954926.20963,-702.909138415457,0.16291328505453195,1.7140052474742934e-07
904448.1493831277,149772832454.87216,-735.128824737398,0.16651244199442491,1.708280549282383e-07
925481.8272757586,149757025446.42056,-767.9980466823548,0.17009959330735505,1.7025896354904351e-07
946515.5051683894,149740520283.2752,-801.5125820623689,0.1736748101189893,1.6969325672996316e-07
967549.1830610203,149723303436.2177,-835.6682638956029,0.17723816368145895,1.6913094013737805e-07
988582.8609536511,149705361462.8294,-870.4609806523458,0.18078972535934615,1.6857201900075695e-07
1009616.538846282,149686681006.52652,-905.8866764060068,0.18432956662106123,1.6801649812294428e-07
1030650.216738913,149667248795.66327,-941.9413508920728,0.1878577590332391,1.6746438188932305e-07
1051683.894631544,149647051642.33792,-978.6210595824662,0.19137437425336418,1.6691567428019974e-07
1072717.5725241746,149626076440.54465,-1015.9219139230088,0.19487948401455418,1.6637037888938342e-07
1093751.2504168055,149604310165.61588,-1053.8400813956805,0.19837316012126774,1.6582849892974664e-07
1114784.9283094364,149581739873.0785,-1092.3717855552409,0.20185547444318666,1.6529003724430582e-07
1135818.6062020673,149558352697.518,-1131.5133060738215,0.20532649890882276,1.6475499631737886e-07
1156852.2840946983,149534135850.6001,-1171.2609789359842,0.2087863054910292,1.6422337829317038e-07
1177885.9619873292,149509076620.64047,-1211.61119647355,0.21223496620408583,1.6369518497980165e-07
1198919.6398799599,149483162371.41272,-1252.5604073778425,0.21567255309812403,1.6317041786017858e-07
1219953.3177725908,149456380541.11984,-1294.1051166961104,0.2190991382545969,1.626490781016494e-07
1240986.9956652217,149428718640.25592,-1336.241885991702,0.22251479377242714,1.6213116657476604e-07
1262020.6735578526,149400164251.02335,-1378.9673333793903,0.22591959176448023,1.6161668385841177e-07
1283054.3514504835,149370705026.523,-1422.2781335246432,0.2293136043542052,1.611056302466872e-07
1304088.0293431142,149340328689.43863,-1466.1710175918927,0.2326969036713634,1.6059800576058226e-07
1325121.7072357452,149309023030.3349,-1510.6427733455023,0.23606956184222022,1.6009381016193904e-07
1346155.385128376,149276775906.23358,-1555.6902452128736,0.2394316509819904,1.5959304296512902e-07
1367189.063021007,149243575240.44626,-1601.3103342843124,0.24278324319421038,1.5909570343836887e-07
1388222.740913638,149209409020.86966,-1647.4999982593988,0.24612441056555434,1.5860179061752176e-07
1409256.4188062686,149174265299.29886,-1694.2562514237866,0.24945522516359747,1.5811130331187747e-07
1430290.0966988995,149138132188.85513,-1741.5761647536046,0.2527757590245902,1.5762424012365877e-07
1451323.7745915304,149100997863.55997,-1789.4568659254,0.25608608415162004,1.5714059945129068e-07
1472357.4524841614,149062850557.86368,-1837.8955393090043,0.25938627251326263,1.5666037949286825e-07
1493391.1303767923,149023678564.79907,-1886.8894258674702,0.2626763960397952,1.5618357826035267e-07
1514424.808269423,148983470235.28418,-1936.4358231752985,0.26595652662033487,1.5571019358470033e-07
1535458.486162054,148942213975.45035,-1986.5320854939766,0.26922673609259334,1.5524022313470444e-07
1556492.1640546848,148899898246.45892,-2037.175623773929,0.2724870962422487,1.547736644183076e-07
1577525.8419473157,148856511564.03925,-2088.363905647683,0.2757376788019389,1.5431051478575066e-07
1598559.5198399466,148812042496.40256,-2140.0944553159925,0.278978555448324,1.5385077144447568e-07
1619593.1977325776,148766479664.0023,-2192.364853550912,0.2822097978011631,1.5339443146090899e-07
1640626.8756252083,148719811736.39236,-2245.17273778443,0.28543147741363206,1.529414917809353e-07
1661660.5535178392,148672027431.9368,-2298.515802111397,0.2886436657715423,1.5249194923182462e-07
1682694.23141047,148623115517.7385,-2352.3917972895792,0.2918464342932236,1.5204580052267544e-07
1703727.909303101,148573064807.2852,-2406.798530678134,0.29503985432680374,1.5160304225957963e-07
1724761.587195732,148521864160.7415,-2461.733866128849,0.2982239971525073,1.5116367094473924e-07
1745795.2650883626,148469502481.79492,-2517.1957241322557,0.3013989339745127,1.5072768299522624e-07
1766828.9429809935,148415968716.3277,-2573.182081846489,0.30456473591821376,1.5029507475107487e-07
1787862.6208736245,148361251852.41678,-2629.6909730972848,0.3077214740302198,1.498658424752818e-07
1808896.2987662554,148305340919.84894,-2686.720488381908,0.31086921927795635,1.494399823566206e-07
1829929.9766588863,148248224987.30057,-2744.2687747819696,0.3140080425492267,1.4901749052680827e-07
1850963.6545515172,148189893163.46555,-2802.33403590819,0.31713801465365277,1.4859836305443477e-07
1871997.332444148,148130334592.78226,-2860.9145321166266,0.32025920631578897,1.4818259596858962e-07
1893031.0103367788,148069538454.80634,-2920.0085805279596,0.3233716881743499,1.4777018526240722e-07
1914064.6882294097,148007493964.21063,-2979.6145550274896,0.32647553078221037,1.4736112689306665e-07
1935098.3661220407,147944190370.46237,-3039.7308862765194,0.329570804606344,1.469554167835126e-07
1956132.0440146716,147879616954.295,-3100.356061723676,0.33265758002899193,1.465530508420024e-07
1977165.7219073023,147813763029.93518,-3161.4886254103026,0.3357359273497164,1.4615402495111112e-07
1998199.3997999332,147746617940.3553,-3223.127178346534,0.33880591678083016,1.457583349917821e-07
2019233.077692564,147678171056.00586,-3285.270378582078,0.3418676184467124,1.4536597684992014e-07
2040266.755585195,147608411774.81555,-3347.9169412062165,0.3449211023838089,1.449769464163915e-07
2061300.433477826,147537329522.19113,-3411.0656383478063,0.3479664385406323,1.4459123958702406e-07
2082334.1113704566,147464913749.22678,-3474.7152992854203,0.35100369677889076,1.4420885227150406e-07
2103367.789263088,147391153930.30682,-3538.864810377839,0.35403294687825837,1.4382978040658858e-07
2124401.4671557187,147316039565.20654,-3603.5131149797985,0.3570542585340003,1.4345401994553475e-07
2145435.145048349,147239560173.0899,-3668.6592140412554,0.3600677013570799,1.4308156688662485e-07
2166468.82294098,147161705292.25278,-3734.3021661287385,0.3630733448742337,1.427124172744102e-07
2187502.500833611,147082464480.1229,-3800.44108742534,0.3660712585279713,1.4234656719971117e-07
2208536.178726242,147001827313.25992,-3867.0751517307212,0.3690615116765753,1.4198401279961718e-07
2229569.856618873,146919783386.15665,-3934.2035905971816,0.37204417359559866,1.4162475026298406e-07
2250603.5345115038,146836322306.4247,-4001.825693659036,0.3750193134869562,1.4126877585363022e-07
2271637.2124041347,146751433700.52194,-4069.9408078834936,0.3779870004728298,1.4091608588467849e-07
2292670.8902967656,146665107205.92072,-4138.548338767537,0.3809473036007916,1.4056667675297347e-07
2313704.5681893965,146577332470.0004,-4207.647750485194,0.3839002918448699,1.4022054494405402e-07
2334738.2460820274,146488099150.04727,-4277.23856588754,0.3868460341055492,1.3987768703215327e-07
2355771.9239746584,146397396913.25467,-4347.320366502698,0.38978459920977004,1.3953809968019875e-07
