t,r,r_dot,theta,theta_dot
0.0,150000000000.0,0.0,0.0,1.9832769515795482e-07
21033.677892630876,149999995392.4415,-0.6565877550464154,0.004160505981022395,1.9727747098701124e-07
42067.35578526175,149999963237.11584,-2.617084892539836,0.008298981057083139,1.9623288008085117e-07
63101.03367789263,149999876253.4048,-5.867688155666253,0.012415544141108039,1.9519396242072319e-07
84134.7115705235,149999707449.66653,-10.394723600268874,0.016510314962126862,1.9416075563402928e-07
105168.38946315438,149999430120.49826,-16.184648247731015,0.02058341401635963,1.9313329505130243e-07
126202.06735578526,149999017843.96457,-23.224051624087437,0.024634962519484684,1.9211161376260525e-07
147235.74524841615,149998444478.79504,-31.499657188014968,0.028665082360105506,1.9109574267330172e-07
168269.423141047,149997684161.55203,-40.99832365166672,0.0326738960543875,1.900857105592016e-07
189303.10103367787,149996711303.78244,-51.70704619612012,0.036661526701950095,1.8908154412088146e-07
210336.77892630876,149995500589.11673,-63.61295759795957,0.04062809794245167,1.8808326803786025e-07
231370.45681893965,149994026970.37314,-76.70332924027817,0.044573733913978356,1.8709090502143546e-07
252404.1347115705,149992265666.65573,-90.96557204204377,0.04849855921227822,1.8610447586679572e-07
273437.8126042014,149990192160.34885,-106.38723730984407,0.05240269885026725,1.8512399950572566e-07
294471.4904968323,149987782194.24295,-122.95601746237588,0.056286278220676444,1.8414949305598036e-07
315505.16838946316,149985011768.46494,-140.65974673311416,0.06014942305677645,1.8318097187327477e-07
336538.846282094,149981857137.57947,-159.48640171873248,0.06399225939764683,1.8221844959892004e-07
357572.5241747249,149978294807.50308,-179.42410192999307,0.06781491355071302,1.8126193821025993e-07
378606.20206735574,149974301532.5846,-200.46111018362836,0.0716175120593477,1.8031144806670278e-07
399639.87995998666,149969854312.47433,-222.58583301300015,0.07540018166691896,1.793669879590377e-07
420673.5578526175,149964930389.25522,-245.78682091359917,0.07916304928720432,1.7842856515292015e-07
441707.2357452484,149959507244.18362,-270.05276862273894,0.0829062419692228,1.7749618543825535e-07
462740.9136378793,149953562594.97223,-295.37251524111105,0.08662988687086584,1.765698531689423e-07
483774.59153051017,149947074392.35248,-321.7350443684431,0.09033411122469118,1.7564957131278771e-07
504808.269423141,149940020817.4516,-349.12948414651237,0.09401904231306668,1.747353414887773e-07
525841.947315772,149932380278.4304,-377.5451072278232,0.09768480743821135,1.7382716401371119e-07
546875.6252084028,149924131407.55435,-406.97133076155967,0.10133153389457256,1.7292503794266948e-07
567909.3031010337,149915253058.35153,-437.39771623848645,0.10495934894634636,1.7202896110675874e-07
588942.9809936646,149905724302.07578,-468.8139693466412,0.10856837979650555,1.7113893016002948e-07
609976.6588862954,149895524425.27216,-501.20993979919524,0.11215875356749175,1.7025494061090097e-07
631010.3367789263,149884632926.42123,-534.5756210284144,0.11573059727621327,1.6937698686463416e-07
652044.0146715571,149873029512.7376,-568.9011499379073,0.11928403780776504,1.6850506226354337e-07
673077.692564188,149860694097.77173,-604.1768065951859,0.12281920189957353,1.6763915911611366e-07
694111.370456819,149847606797.74173,-640.393013786607,0.12633621611544948,1.667792687411001e-07
715145.0483494498,149833747928.74228,-677.5403366971292,0.12983520682474065,1.659253815005972e-07
736178.7262420807,149819098004.2175,-715.6094824837969,0.13331630018771656,1.6507748682913785e-07
757212.4041347115,149803637731.21988,-754.5912997079134,0.13677962213113243,1.6423557327624182e-07
778246.0820273424,149787348007.75336,-794.4767779453708,0.14022529833018868,1.6339962853610647e-07
799279.7599199733,149770209920.3005,-835.2570472871,0.1436534541958864,1.6256963947460944e-07
820313.4378126041,149752204740.1501,-876.9233776655874,0.14706421485362892,1.617455921688072e-07
841347.115705235,149733313920.4836,-919.4671783533685,0.1504577051250913,1.6092747193763766e-07
862380.793597866,149713519094.19556,-962.8799974671642,0.15383404951820911,1.6011526336437444e-07
883414.4714904968,149692802070.5733,-1007.1535212390385,0.1571933722108833,1.5930895033059195e-07
904448.1493831277,149671144831.58472,-1052.2795732882878,0.160535797030134,1.5850851605292442e-07
925481.8272757586,149648529530.28287,-1098.2501142473955,0.16386144744493283,1.5771394309851886e-07
946515.5051683894,149624938487.76154,-1145.057240973293,0.16717044655444663,1.5692521341472746e-07
967549.1830610203,149600354189.1825,-1192.6931856698156,0.17046291706849998,1.5614230836608984e-07
988582.8609536511,149574759281.69614,-1241.150315423329,0.17373898129760548,1.5536520875348057e-07
1009616.538846282,149548136572.05594,-1290.4211315382056,0.176998761145106,1.5459389483571068e-07
1030650.216738913,149520469023.63623,-1340.4982687364898,0.18024237809635313,1.538283463564794e-07
1051683.894631544,149491739752.20377,-1391.374494162133,0.18346995320031984,1.530685425806086e-07
1072717.5725241746,149461932024.83356,-1443.04270710292,0.1866816070655566,1.5231446230322674e-07
1093751.2504168055,149431029256.95206,-1495.4959381010733,0.1898774598524108,1.5156608387488805e-07
1114784.9283094364,149399015009.33844,-1548.7273481378263,0.19305763126302158,1.508233852263376e-07
1135818.6062020673,149365872984.05106,-1602.7302276162036,0.19622224052623757,1.5008634390072137e-07
1156852.2840946983,149331587023.65662,-1657.4979961475615,0.19937140639537015,1.4935493705957978e-07
1177885.9619873292,149296141108.08463,-1713.024201562078,0.2025052471417334,1.486291415075845e-07
1198919.6398799599,149259519352.0134,-1769.3025191588363,0.20562388054757572,1.4790893371259548e-07
1219953.3177725908,149221706000.34674,-1826.326750536685,0.20872742389206547,1.4719428983848202e-07
1240986.9956652217,149182685427.64975,-1884.0908234398187,0.21181599394977382,1.4648518574921823e-07
1262020.6735578526,149142442135.1715,-1942.5887908232153,0.21488970698584992,1.4578159703008428e-07
1283054.3514504835,149100960748.92184,-2001.8148301976773,0.21794867875336274,1.4508349900215066e-07
1304088.0293431142,149058226014.5273,-2061.7632422950032,0.22099302448010716,1.443908667562266e-07
1325121.7072357452,149014222795.84567,-2122.4284506922654,0.2240228588653863,1.43703675162121e-07
1346155.385128376,148968936073.83887,-2183.8050014719183,0.2270382960785997,1.4302189887579006e-07
1367189.063021007,148922350943.09204,-2245.8875620446315,0.23003944975659346,1.4234551236271047e-07
1388222.740913638,148874452609.48438,-2308.6709205358607,0.23302643299890502,1.4167448991212627e-07
1409256.4188062686,148825226385.39047,-2372.1499845236413,0.2359993583588687,1.4100880566583446e-07
1430290.0966988995,148774657689.4786,-2436.3197809825756,0.23895833784329132,1.4034843361941936e-07
1451323.7745915304,148722732044.60855,-2501.1754556570377,0.2419034829110756,1.3969334763430138e-07
