t,r,r_dot,theta,theta_dot
0.0,150000000000.0,0.0,0.0,1.9832769515795482e-07
21033.677892630876,149999997437.22702,-0.3653444850928295,0.004165414429845637,1.977435489528242e-07
42067.35578526175,149999979528.04358,-1.4585050807509863,0.008318560573664504,1.9716116355858002e-07
63101.03367789263,149999931009.0357,-3.2751828838952433,0.012459475831458258,1.9658057342496944e-07
84134.7115705235,149999836707.05942,-5.811093561130212,0.016588198319648046,1.9600181222536478e-07
105168.38946315438,149999681538.92502,-9.06196823056851,0.020704766854856452,1.9542491286657e-07
126202.06735578526,149999450511.06332,-13.023554321695125,0.024809220937887955,1.9484990749869714e-07
147235.74524841615,149999128719.1735,-17.69161641493495,0.02890160073788141,1.9427682752512363e-07
168269.423141047,149998701347.85208,-23.061937055742156,0.0329819470767501,1.937057036124776e-07
189303.10103367787,149998153670.21127,-29.13031754569466,0.0370503014138544,1.9313656570061457e-07
210336.77892630876,149997471047.47064,-35.89257872818489,0.04110670583057355,1.9256944301285216e-07
231370.45681893965,149996638928.54105,-43.344561722214856,0.04515120301573221,1.920043640658864e-07
252404.1347115705,149995642849.5929,-51.482128674684944,0.04918383625040462,1.9144135668011036e-07
273437.8126042014,149994468433.5976,-60.30116345441198,0.05320464939378192,1.908804479896693e-07
294471.4904968323,149993101389.87827,-69.79757235771659,0.05721368686851548,1.9032166445266433e-07
315505.16838946316,149991527513.61078,-79.96728477050058,0.06121099364687971,1.8976503186139345e-07
336538.846282094,149989732685.35437,-90.8062538335644,0.06519661523655408,1.8921057535249091e-07
357572.5241747249,149987702870.5223,-102.31045705742295,0.06917059766744421,1.8865831941710884e-07
378606.20206735574,149985424118.8809,-114.47589697178162,0.07313298747738743,1.8810828791130254e-07
399639.87995998666,149982882564.01187,-127.2986016704752,0.07708383170017932,1.8756050406572986e-07
420673.5578526175,149980064422.7493,-140.7746254673368,0.08102317785072356,1.8701499049673302e-07
441707.2357452484,149976955994.6742,-154.90004936512952,0.08495107391442512,1.864717692151386e-07
462740.9136378793,149973543661.46487,-169.67098169499914,0.08886756833237042,1.8593086163800366e-07
483774.59153051017,149969813886.4067,-185.08355858316412,0.09277270999034339,1.8539228859735684e-07
504808.269423141,149965753213.7446,-201.1339444602791,0.0966665482068168,1.8485607035073537e-07
525841.947315772,149961348268.073,-217.8183326321365,0.10054913271904728,1.8432222659203437e-07
546875.6252084028,149956585753.80664,-235.13294564506066,0.10442051367422227,1.8379077645968143e-07
567909.3031010337,149951452454.43314,-253.07403585173853,0.10828074161538973,1.8326173854869407e-07
588942.9809936646,149945935231.9841,-271.63788583247947,0.11212986747075858,1.8273513091940892e-07
609976.6588862954,149940021026.39758,-290.82080876139497,0.11596794254445764,1.8221097110669856e-07
631010.3367789263,149933696854.74045,-310.6191489528832,0.11979501850226376,1.8168927613213598e-07
652044.0146715571,149926949810.71133,-331.02928218679523,0.1236111473630006,1.8117006251153017e-07
673077.692564188,149919767063.93518,-352.04761606068666,0.12741638148923168,1.8065334626467282e-07
694111.370456819,149912135859.14398,-373.67059050352464,0.13121077357322344,1.8013914292752808e-07
715145.0483494498,149904043515.69666,-395.8946780448363,0.1349943766295094,1.7962746755907356e-07
736178.7262420807,149895477426.84406,-418.71638412859375,0.13876724398619142,1.791183347509761e-07
757212.4041347115,149886425058.85358,-442.1322475897287,0.14252942927134224,1.786117586398713e-07
778246.0820273424,149876873950.51746,-466.13884090601147,0.14628098640573764,1.7810775291409135e-07
799279.7599199733,149866811712.43762,-490.7327704548254,0.15002196959535583,1.776063308226227e-07
820313.4378126041,149856226026.1206,-515.9106769253299,0.15375243331911073,1.7710750518700558e-07
841347.115705235,149845104643.35522,-541.6692356147616,0.15747243231994312,1.7661128840952937e-07
862380.793597866,149833435385.61026,-568.0051566164881,0.16118202159898704,1.7611769248045422e-07
883414.4714904968,149821206143.1857,-594.9151851165259,0.16488125640635393,1.756267289884055e-07
904448.1493831277,149808404874.2722,-622.3961017887001,0.16857019222872713,1.7513840913210955e-07
925481.8272757586,149795019604.57224,-650.4447229155572,0.17224888478544878,1.7465274372484041e-07
946515.5051683894,149781038426.44873,-679.0579006046573,0.17591739002136597,1.7416974320417753e-07
967549.1830610203,149766449497.93344,-708.2325231370528,0.1795757640953989,1.736894176436692e-07
988582.8609536511,149751241042.0861,-737.9655151924682,0.18322406337313007,1.7321177676029604e-07
