t,r,r_dot,theta,theta_dot
0.0,150000000000.0,0.0,0.0,1.9832769515795482e-07
21033.677892630876,149999997949.17725,-0.2923904592312335,0.0041666427487021445,1.9786024039200857e-07
42067.35578526175,149999983612.7858,-1.1677205651138332,0.008323465079762,1.9739391970964717e-07
63101.03367789263,149999944758.4856,-2.62323111506605,0.012470491155189656,1.96928762318746e-07
84134.7115705235,149999869211.93076,-4.656167006327444,0.016607745746044483,1.9646479692404403e-07
105168.38946315438,149999744856.67685,-7.263777841952716,0.02073525422190734,1.9600205173206044e-07
126202.06735578526,149999559634.07608,-10.443318526127378,0.02485304254043714,1.955405544560895e-07
147235.74524841615,149999301543.1584,-14.192049846583872,0.028961137237059637,1.9508033232125991e-07
168269.423141047,149998958640.5031,-18.507239042624793,0.03305956541481173,1.9462141206962038e-07
189303.10103367787,149998519040.09778,-23.38616037328514,0.037148354734077946,1.9416381996538163e-07
210336.77892630876,149997970913.18054,-28.826095656157122,0.04122753340279049,1.9370758180009622e-07
231370.45681893965,149997302488.08365,-34.82433481096972,0.045297130166404985,1.932527228979472e-07
252404.1347115705,149996502050.046,-41.37817638662419,0.04935717429814108,1.9279926812115702e-07
273437.8126042014,149995557941.04077,-48.48492806819418,0.053407695589452235,1.9234724187520965e-07
294471.4904968323,149994458559.56,-56.14190719642655,0.057448724340224716,1.9189666811450713e-07
315505.16838946316,149993192360.4279,-64.34644124426437,0.0614802913496421,1.9144757034754856e-07
336538.846282094,149991747854.5572,-73.09586831428292,0.06550242790664615,1.9099997164270565e-07
357572.5241747249,149990113608.7486,-82.38753760895716,0.06951516578071562,1.9055389463355173e-07
378606.20206735574,149988278245.42545,-92.21880987665281,0.07351853721320777,1.9010936152444536e-07
399639.87995998666,149986230442.40607,-102.58705790490427,0.0775125749074665,1.896663940963441e-07
420673.5578526175,149983958932.6417,-113.48966689852918,0.08149731202137846,1.8922501371187002e-07
441707.2357452484,149981452503.93002,-124.92403499291217,0.08547278215693228,1.887852413217938e-07
462740.9136378793,149978699998.68347,-136.8875736043724,0.08943901935309306,1.8834709746973477e-07
483774.59153051017,149975690313.5933,-149.37770787505798,0.09339605807674684,1.879106022984608e-07
504808.269423141,149972412399.37106,-162.39187710628832,0.09734393321356784,1.874757755555922e-07
525841.947315772,149968855260.45352,-175.92753507195204,0.10128268006161445,1.8704263659850987e-07
546875.6252084028,149965007954.63885,-189.98215049984532,0.10521233432111432,1.866112044013095e-07
567909.3031010337,149960859592.84305,-204.55320739778284,0.10913293208744021,1.861814975595101e-07
588942.9809936646,149956399338.73932,-219.63820538261615,0.11304450984423922,1.8575353429567055e-07
609976.6588862954,149951616408.3812,-235.23466014704798,0.11694710445317863,1.8532733246640052e-07
631010.3367789263,149946500069.954,-251.34010372485594,0.12084075314812553,1.8490290956660634e-07
652044.0146715571,149941039643.37784,-267.95208481080755,0.12472549352830509,1.8448028273538205e-07
673077.692564188,149935224499.89603,-285.068169212882,0.12860136354808577,1.8405946876320223e-07
694111.370456819,149929044061.83023,-302.6859400800087,0.13246840151185743,1.8364048409583596e-07
715145.0483494498,149922487802.1592,-320.802998195128,0.13632664606763778,1.83223344840248e-07
736178.7262420807,149915545244.06375,-339.4169624067711,0.1401761361970969,1.8280806677197138e-07
757212.4041347115,149908205960.67282,-358.52546985324045,0.14401691121036025,1.8239466533906683e-07
778246.0820273424,149900459574.6487,-378.12617621000874,0.1478490107405045,1.8198315566761242e-07
799279.7599199733,149892295757.7003,-398.21675607118726,0.15167247473461565,1.815735525689033e-07
820313.4378126041,149883704230.24554,-418.79490323327894,0.15548734344701748,1.8116587054457617e-07
841347.115705235,149874674761.07074,-439.85833087980654,0.1592936574350295,1.807601237909602e-07
862380.793597866,149865197166.8536,-461.40477186259284,0.16309145755241677,1.8035632620537748e-07
883414.4714904968,149855261311.63425,-483.431979096109,0.16688078493976297,1.799544913937004e-07
904448.1493831277,149844857106.6117,-505.93772567762403,0.17066168102157792,1.7955463267300408e-07
